Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0001	LOND-1250F4B	EPI_ISL_665649	hCoV-19/England/LOND-1250F4B/2020	ERS5417701	ERR4891514
S0002	#N/A	#N/A	#N/A	#N/A	#N/A
S0003	#N/A	#N/A	#N/A	#N/A	#N/A
S0004	LOND-1250F5A	EPI_ISL_665580	hCoV-19/England/LOND-1250F5A/2020	ERS5417720	ERR4891532
S0005	LOND-1250FA5	EPI_ISL_665643	hCoV-19/England/LOND-1250FA5/2020	ERS5419524	ERR4893361
S0006	#N/A	#N/A	#N/A	#N/A	#N/A
S0007	LOND-12514C3	0	0	ERS5535232	ERR5093168
S0008	LOND-12514F0	EPI_ISL_679406	hCoV-19/England/LOND-12514F0/2020	ERS5558472	ERR5089425
S0009	LOND-125150C	EPI_ISL_679407	hCoV-19/England/LOND-125150C/2020	ERS5534089	ERR5069624
S0010	#N/A	#N/A	#N/A	#N/A	#N/A
S0011	#N/A	#N/A	#N/A	#N/A	#N/A
S0012	#N/A	#N/A	#N/A	#N/A	#N/A
S0013	#N/A	#N/A	#N/A	#N/A	#N/A
S0014	#N/A	#N/A	#N/A	#N/A	#N/A
S0015	#N/A	#N/A	#N/A	#N/A	#N/A
S0016	#N/A	#N/A	#N/A	#N/A	#N/A
S0017	#N/A	#N/A	#N/A	#N/A	#N/A
S0018	#N/A	#N/A	#N/A	#N/A	#N/A
S0019	#N/A	#N/A	#N/A	#N/A	#N/A
S0020	#N/A	#N/A	#N/A	#N/A	#N/A
S0021	#N/A	#N/A	#N/A	#N/A	#N/A
S0022	#N/A	#N/A	#N/A	#N/A	#N/A
S0023	#N/A	#N/A	#N/A	#N/A	#N/A
S0024	#N/A	#N/A	#N/A	#N/A	#N/A
S0025	#N/A	#N/A	#N/A	#N/A	#N/A
S0026	#N/A	#N/A	#N/A	#N/A	#N/A
S0027	#N/A	#N/A	#N/A	#N/A	#N/A
S0028	#N/A	#N/A	#N/A	#N/A	#N/A
S0029	LOND-12539B3	EPI_ISL_842790	hCoV-19/England/LOND-12539B3/2020	ERS5658512	ERR5222279
S0030	LOND-1253977	0	0	0	0
S0031	LOND-125392C	EPI_ISL_842786	hCoV-19/England/LOND-125392C/2020	ERS5655138	ERR5219032
S0032	LOND-125390E	EPI_ISL_842784	hCoV-19/England/LOND-125390E/2020	ERS5653640	ERR5217558
S0033	LOND-125333D	EPI_ISL_842733	hCoV-19/England/LOND-125333D/2020	ERS5665305	ERR5228207
